"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC120316CSc1","16/03/2012","Stenella coeruleoalba","Calabria","Catanzaro","","M","213","","","Morto","ND","Guardia Costiera","Stefania Giglio","Centro Studi Cetacei","38.69998","16.53996"
"CSC120314CSc1","14/03/2012","Stenella coeruleoalba","Lazio","Latina","","M","126","","","Morto","ND","Guardia Costiera","Luigi Valerio","Centro Studi Cetacei","41.20858","13.56857"
"CSC120302CSc1","02/03/2012","Stenella coeruleoalba","Calabria","Catanzaro","","F","180","","","Morto","ND","Guardia Costiera","Elena Madeo","Centro Studi Cetacei","38.61815","16.56135"
"CSC120228CSc1","28/02/2012","Stenella coeruleoalba","Abruzzo","Chieti","","M","174","","","Morto","No","Guardia Costiera","veterinari","ASL","42.09959","14.72379"
"CSC120221CSc1","21/02/2012","Stenella coeruleoalba","Lazio","Latina","","M","197","","","Morto","ND","Guardia Costiera","Domenico Infrutta","ASL","41.2842","13.23587"
"CSC120208CSc2","08/02/2012","Stenella coeruleoalba","Calabria","Catanzaro","","F","195","","","Morto","ND","Guardia Costiera","Stefania Giglio","Parco naturale","38.8254","16.6248"
"CSC120130CSc1","30/01/2012","Stenella coeruleoalba","Abruzzo","Chieti","","F","193","","","Morto","No","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","42.35471","14.41262"
"CSC120119CSc1","19/01/2012","Stenella coeruleoalba","Abruzzo","Teramo","","F","193","","","Morto","No","Privato cittadino","Vincenzo Olivieri","Centro Studi Cetacei","42.58195","14.0931"
"CSC120118CZc1","18/01/2012","Ziphius cavirostris","Calabria","Reggio di Calabria","","F","425","","","Morto","ND","Privato cittadino","Stefania Giglio","Parco naturale","38.4328","16.57428"
"CSC120108CTt1","08/01/2012","Tursiops truncatus","Marche","Ascoli Piceno","","ND","220","","","Morto","ND","Privato cittadino","Falaschetti Giuliano","ASL","42.98094","13.87654"
"CSC120107CSc1","07/01/2012","Stenella coeruleoalba","Emilia Romagna","Ferrara","","F","199","","","Morto","ND","Privato cittadino","Valerio Manfrini","Centro Studi Cetacei","44.67792","12.24545"
"CSC111131CZc1","01/12/2011","Ziphius cavirostris","Calabria","Crotone","","F","680","","","Morto","ND","Guardia Costiera","Stefania Giglio","Parco naturale","39.03863","17.16246"
"CSC110629CTt1","29/06/2011","Tursiops truncatus","Lazio","Roma","","M","297","","","Vivo","ND","Vigili del fuoco","Valerio Manfrini","Centro Studi Cetacei","41.63667","12.44113"
"CSC101230CSc1","30/12/2010","Stenella coeruleoalba","Campania","Napoli","","M","152","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.81932","14.07197"
"CSC101228CSc1","28/12/2010","Stenella coeruleoalba","Campania","Salerno","","ND","185","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.20819","15.00229"
"CSC101209CTt1","09/12/2010","Tursiops truncatus","Abruzzo","Teramo","","M","310","","","Morto","No","Guardia Costiera","Alfredo Di Domenicantonio","ASL","42.78827","13.95273"
"CSC100818CPm1","18/08/2010","Physeter macrocephalus","Sicilia","Catania","","M","1450","","","Morto","ND","Guardia Costiera","Stefano Floridia","Universita di Catania","37.401","15.0899"
"CSC100816CSc1","16/08/2010","Stenella coeruleoalba","Campania","Salerno","","ND","150","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.05168","15.28201"
"CSC100816CTt1","16/08/2010","Tursiops truncatus","Abruzzo","Teramo","","ND","","","","Morto","No","Guardia Costiera","Alfredo Di Domenicantonio","ASL","42.78705","13.95384"
"CSC100810CTt2","10/08/2010","Tursiops truncatus","Abruzzo","Teramo","","M","240","","","Morto","No","Guardia Costiera","Alfredo Di Domenicantonio","ASL","42.80209","13.94603"
"CSC100809CTt1","09/08/2010","Tursiops truncatus","Abruzzo","Chieti","","M","270","","","Morto","No","Guardia Costiera","Enzo Di Pretoro","ASL","42.34948","14.41239"
"CSC100808CTt1","08/08/2010","Tursiops truncatus","Abruzzo","Pescara","","F","270","","","Morto","No","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","42.46962","14.226"
"CSC100731CTt1","31/07/2010","Tursiops truncatus","Campania","Salerno","","ND","","","","Vivo","ND","Guardia Costiera","Nicola Maio","ASL","40.35013","14.98183"
"CSC100722CSc1","22/07/2010","Stenella coeruleoalba","Campania","Salerno","","M","110","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.26747","14.93204"
"CSC100625CSc1","25/06/2010","Stenella coeruleoalba","Campania","Salerno","","M","168","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.66711","14.75"
"CSC100619CSc1","19/06/2010","Stenella coeruleoalba","Campania","Salerno","","ND","150","","","Vivo","ND","Guardia Costiera","Nicola Maio","ASL","40.034","15.26667"
"CSC100618CSc1","18/06/2010","Stenella coeruleoalba","Sicilia","Siracusa","","F","122","","","Morto","ND","Privato cittadino","Stefano Floridia","Universita di Catania","37.13342","15.22056"
"CSC100602CSc1","02/06/2010","Stenella coeruleoalba","Campania","Salerno","","M","120","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.36726","15"
"CSC100517CSc1","17/05/2010","Stenella coeruleoalba","Campania","Salerno","","F","190","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.53394","14.9"
"CSC100511CSc1","11/05/2010","Stenella coeruleoalba","Sicilia","Siracusa","","F","","","","Morto","ND","Privato cittadino","Stefano Floridia","ASL","37.33552","15.09512"
"CSC100401CBa1","01/04/2010","Balaenoptera acutorostrata","Campania","Salerno","","M","3350","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.66711","14.75"
"CSC100123CPm1","23/01/2010","Physeter macrocephalus","Sicilia","Palermo","","M","850","","","Morto","ND","Guardia Costiera","Stefano Floridia","Universita di Catania","38.17197","13.19753"
"CSC100117CSc1","17/01/2010","Stenella coeruleoalba","Calabria","Vibo Valentia","","ND","","","","Morto","ND","Centro Studi Cetacei","Vincenzo Olivieri","Centro Studi Cetacei","38.73171","16.15371"
"CSC100105CSc1","05/01/2010","Stenella coeruleoalba","Campania","Salerno","","ND","200","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.43541","14.97371"
"CSC100103CTt1","03/01/2010","Tursiops truncatus","Campania","Salerno","","ND","130","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.38574","14.99852"
"CSC091230CSc1","30/12/2009","Stenella coeruleoalba","Campania","Salerno","","F","","","","Morto","ND","Privato cittadino","Nicola Maio","ASL","40.22868","14.93751"
"CSC091212CSc1","12/12/2009","Stenella coeruleoalba","Abruzzo","Teramo","","F","190","","","Morto","No","Guardia Costiera","Alfredo Di Domenicantonio","ASL","42.81818","13.93938"
"CSC091211CPm6","11/12/2009","Physeter macrocephalus","Puglia","Foggia","","M","1171","","","Morto","ND","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","41.9006","15.68333"
"CSC091211CPm7","11/12/2009","Physeter macrocephalus","Puglia","Foggia","","M","1100","","","Morto","ND","Centro Studi Cetacei","Vincenzo Olivieri","Centro Studi Cetacei","41.9006","15.68333"
"CSC091211CPm1","11/12/2009","Physeter macrocephalus","Puglia","Foggia","","M","1225","","","Morto","ND","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","41.9006","15.68333"
"CSC091211CPm2","11/12/2009","Physeter macrocephalus","Puglia","Foggia","","M","1199","","","Morto","ND","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","41.9006","15.68333"
"CSC091211CPm3","11/12/2009","Physeter macrocephalus","Puglia","Foggia","","M","1100","","","Morto","ND","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","41.9006","15.68333"
"CSC091211CPm4","11/12/2009","Physeter macrocephalus","Puglia","Foggia","","M","1100","","","Morto","ND","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","41.9006","15.68333"
"CSC091211CPm5","11/12/2009","Physeter macrocephalus","Puglia","Foggia","","M","1200","","","Morto","ND","Guardia Costiera","Vincenzo Olivieri","Centro Studi Cetacei","41.9006","15.68333"
"CSC090824CTt1","24/08/2009","Tursiops truncatus","Molise","Campobasso","","M","140","","","Morto","No","Guardia Costiera","Alfonso Guglielmini","Non disponibile","42.02581","14.88618"
"CSC090818CTt1","18/08/2009","Tursiops truncatus","Abruzzo","Teramo","","M","210","","","Morto","No","Guardia Costiera","Alfredo Di Domenicantonio","ASL","42.75595","13.97568"
"CSC090818CTt2","18/08/2009","Tursiops truncatus","Abruzzo","Chieti","","F","160","","","Morto","No","Guardia Costiera","Enzo Di Pretoro","ASL","42.38671","14.35734"
"CSC090814CTt1","14/08/2009","Tursiops truncatus","Campania","Salerno","","F","232","","","Morto","ND","Guardia Costiera","G. Pollaro","ASL","40.45015","14.95"
"CSC090813CSc1","13/08/2009","Stenella coeruleoalba","Sicilia","Catania","","M","","","","Morto","ND","Privato cittadino","Non disponibile","Non disponibile","37.434","15.08895"
"CSC090721CTt1","21/07/2009","Tursiops truncatus","Veneto","Venezia","","ND","","","","Morto","ND","Privato cittadino","Vincenzo Olivieri","Centro Studi Cetacei","45.50037","12.65"
"CSC090712CND1","12/07/2009","Indeterminato","Campania","Salerno","","ND","","","","Morto","ND","Guardia Costiera","G. Panico","Guardia Costiera","40.66688","14.73333"
"CSC090630CSc1","30/06/2009","Stenella coeruleoalba","Sicilia","Catania","","F","","","","Morto","ND","Privato cittadino","Eugenio Internullo","Centro Studi Cetacei","37.49947","15.09041"
"CSC090629CTt1","29/06/2009","Tursiops truncatus","Campania","Salerno","","ND","121","","","Morto","ND","Privato cittadino","G. Pollaro","ASL","40.35067","14.98333"
"CSC090513CSc1","13/05/2009","Stenella coeruleoalba","Campania","Salerno","","ND","","","","Morto","ND","Privato cittadino","Nicola Maio","ASL","40.43383","14.96667"
"CSC090418CND1","18/04/2009","Indeterminato","Campania","Salerno","","ND","250","","","Morto","ND","Guardia Costiera","P. Santoriello","Guardia Costiera","40.45033","14.63333"
"CSC090417CSc1","17/04/2009","Stenella coeruleoalba","Campania","Napoli","","F","192","","","Morto","ND","Guardia Costiera","Nicola Maio","ASL","40.73389","14.45"
"CSC090315CMn1","15/03/2009","Megaptera novaeangliae","Friuli","Gorizia","","ND","","","","Morto","ND","Privato cittadino","Alessandro Bortolotto","Centro Studi Cetacei","45.66704","13.38333"
"CSC090125CTt1","25/01/2009","Tursiops truncatus","Emilia Romagna","Ferrara","","F","278","","","Morto","ND","Guardia Costiera","Valerio Manfrini","Centro Studi Cetacei","44.68026","12.24374"
"CSC090103CTt1","03/01/2009","Tursiops truncatus","Abruzzo","Chieti","","F","200","","","Morto","No","Motopeschereccio","Enzo Di Pretoro","ASL","42.42879","14.28268"
"CSC081215CTt1","15/12/2008","Tursiops truncatus","Abruzzo","Teramo","","F","250","","","Morto","No","Guardia Costiera","Vincenzo Perretti","ASL","42.60237","14.07435"
"CSC081210CTt1","10/12/2008","Tursiops truncatus","Abruzzo","Teramo","","M","240","","","Morto","No","Guardia Costiera","Daniele Palmerini","Guardia Costiera","42.58619","14.08903"
"CSC081103CND1","03/11/2008","Indeterminato","Campania","Salerno","","ND","100","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.65435","14.80543"
"CSC081027CTt1","27/10/2008","Tursiops truncatus","Campania","Salerno","","M","293","","","Morto","ND","Guardia Costiera","Non disponibile","ASL","40.57554","14.88637"
"CSC081018CTt1","18/10/2008","Tursiops truncatus","Abruzzo","Teramo","","F","360","","","Morto","No","Guardia Costiera","Vincenzo Perretti","ASL","42.80193","13.94526"
"CSC131018CSc1","18/10/2008","Stenella coeruleoalba","Lazio","Roma","","ND","91","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","41.55582","12.53096"
"CSC081005CSc1","05/10/2008","Stenella coeruleoalba","Campania","Salerno","","F","172","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.35287","14.98014"
"CSC080827CTt1","27/08/2008","Tursiops truncatus","Abruzzo","Teramo","","M","280","","","Morto","No","Guardia Costiera","Daniele Palmerini","Guardia Costiera","42.60233","14.07444"
