"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC201210TCc1","10/12/2020","Caretta caretta","Molise","Campobasso","Termoli","F","77","","","Morto","Si","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","41.99937","15.01467"
"CSC201210TCc2","10/12/2020","Caretta caretta","Abruzzo","Chieti","Casalbordino","ND","51","","","Morto","Si","Guardia Costiera","Fabrizio Di Fonzo","ASL","42.20418","14.60698"
"CSC201210TCc3","10/12/2020","Caretta caretta","Abruzzo","Pescara","Pescara","ND","67.5","","CSCIT209","Vivo","Si","Motopeschereccio","Chiara Profico","Centro Studi Cetacei","42.52492","14.30291"
"CSC201209TCc2","09/12/2020","Caretta caretta","Abruzzo","Pescara","Pescara","F","73.8","","","Morto","Si","Motopeschereccio","Chiara Profico","Centro Studi Cetacei","42.52161","14.31365"
"CSC201209TCc1","09/12/2020","Caretta caretta","Abruzzo","Chieti","Casalbordino","ND","52","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.19217","14.64353"
"CSC201209TCc3","09/12/2020","Caretta caretta","Abruzzo","Pescara","Pescara","F","72","","CSCIT208","Vivo","Si","Motopeschereccio","Anna Angrilli","Centro Studi Cetacei","42.5309","14.30416"
"CSC201206TCc1","06/12/2020","Caretta caretta","Molise","Campobasso","Campomarino","ND","68.5","","","Morto","ND","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","41.94683","15.07409"
"CSC201204TCc1","04/12/2020","Caretta caretta","Lazio","Roma","Roma","ND","40","","","Morto","Si","Guardia Costiera","Non disponibile","ASL","41.68055","12.37972"
"CSC201202TCc1","02/12/2020","Caretta caretta","Abruzzo","Chieti","Francavilla al Mare","ND","69","","CSCIT207","Vivo","Si","Guardia Costiera","Valentina Giuliani","Centro Studi Cetacei","42.47645","14.34291"
"CSC201201TCc1","01/12/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","36","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.38472","12.60805"
"CSC201130TCc1","30/11/2020","Caretta caretta","Emilia Romagna","Ferrara","Comacchio","ND","56","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.69744","12.24015"
"CSC201127TCc1","27/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","F","84","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.4525","12.58222"
"CSC201127TCc2","27/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","64","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.4525","12.58222"
"CSC201126TCc1","26/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","61","","","Vivo","Si","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.36978","12.68774"
"CSC201125TCc5","25/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","F","77","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.24609","12.93394"
"CSC201125TCc2","25/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","F","39","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.42527","12.60805"
"CSC201125TCc1","25/11/2020","Caretta caretta","Molise","Campobasso","Termoli","ND","49","","","Morto","ND","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","41.99432","15.00144"
"CSC201125TCc4","25/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.05968","12.59399"
"CSC201125TCc3","25/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","45","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.64044","13.38304"
"CSC201124TCc1","24/11/2020","Caretta caretta","Marche","Ancona","Ancona","ND","60","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.575","13.57"
"CSC201124TCc2","24/11/2020","Caretta caretta","Marche","Ascoli Piceno","Massignano","ND","100","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.059","13.851"
"CSC201124TCc3","24/11/2020","Caretta caretta","Marche","Ascoli Piceno","Massignano","F","90","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.059","13.851"
"CSC201123TCc8","23/11/2020","Caretta caretta","Abruzzo","Teramo","Silvi","F","76","","CSCIT203","Vivo","Si","Motopeschereccio","Chiara Profico","Centro Studi Cetacei","42.59122","14.2446"
"CSC201123TCc2","23/11/2020","Caretta caretta","Marche","Ascoli Piceno","Cupra Marittima","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.02548","13.86132"
"CSC201123TCc4","23/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","60","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.643","13.37199"
"CSC201123TCc5","23/11/2020","Caretta caretta","Abruzzo","Pescara","Pescara","M","68.5","","CSCIT206","Vivo","Si","Motopeschereccio","Federica Gioia","Centro Studi Cetacei","42.49798","14.29309"
"CSC201123TCc7","23/11/2020","Caretta caretta","Abruzzo","Teramo","Silvi","ND","59","","CSCIT204","Vivo","Si","Motopeschereccio","Dario D'Onofrio","Centro Studi Cetacei","42.58768","14.25009"
"CSC201123TCc1","23/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.06","12.3"
"CSC201123TCc6","23/11/2020","Caretta caretta","Abruzzo","Teramo","Silvi","M","65.6","","CSCIT205","Vivo","Si","Motopeschereccio","Anna Angrilli","Centro Studi Cetacei","42.58439","14.25421"
"CSC201123TCc3","23/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.64327","13.37124"
"CSC201122TCc8","22/11/2020","Caretta caretta","Marche","Ancona","Sirolo","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.52794","13.62125"
"CSC201122TCc4","22/11/2020","Caretta caretta","Abruzzo","Chieti","Vasto","ND","76","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.17418","14.70802"
"CSC201122TCc7","22/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.182","12.426"
"CSC201122TCc2","22/11/2020","Caretta caretta","Abruzzo","Chieti","Fossacesia","ND","83","","","Morto","No","Guardia Costiera","William Di Nardo","CSC/ASL","42.24294","14.52572"
"CSC201122TCc6","22/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","60","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.194","12.415"
"CSC201122TCc10","22/11/2020","Caretta caretta","Emilia Romagna","Rimini","Riccione","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.998","12.672"
"CSC201122TCc1","22/11/2020","Caretta caretta","Abruzzo","Teramo","Silvi","ND","50","","","Morto","ND","Guardia Costiera","Claudia Borgatti","Centro Studi Cetacei","42.55795","14.11346"
"CSC201122TCc5","22/11/2020","Caretta caretta","Marche","Pesaro e Urbino","Fano","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.798","13.098"
"CSC201122TCc9","22/11/2020","Caretta caretta","Emilia Romagna","Rimini","Bellaria-Igea Marina","ND","95","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.145","12.472"
"CSC201122TCc3","22/11/2020","Caretta caretta","Abruzzo","Chieti","San Salvo","ND","58","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.07667","14.76101"
"CSC201121TCc11","21/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","55","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.62929","13.40141"
"CSC201121TCc14","21/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.2","12.36"
"CSC201121TCc8","21/11/2020","Caretta caretta","Abruzzo","Teramo","Giulianova","F","76.5","","CSCIT202","Vivo","ND","Guardia Costiera","Alfonso Chiariello","Centro Studi Cetacei","42.75249","13.9748"
"CSC201121TCc9","21/11/2020","Caretta caretta","Abruzzo","Chieti","Vasto","ND","73","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.09443","14.72955"
"CSC201121TCc7","21/11/2020","Caretta caretta","Abruzzo","Teramo","Giulianova","ND","20.3","","CSCIT201","Vivo","ND","Guardia Costiera","Federica Gioia","Centro Studi Cetacei","42.75763","13.9685"
"CSC201121TCc24","21/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.077","12.577"
"CSC201121TCc23","21/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.036","12.62"
"CSC201121TCc6","21/11/2020","Caretta caretta","Abruzzo","Teramo","Roseto degli Abruzzi","M","72.5","","","Morto","No","Guardia Costiera","Claudia Borgatti","Centro Studi Cetacei","42.67279","14.02195"
"CSC201121TCc22","21/11/2020","Caretta caretta","Emilia Romagna","Rimini","Bellaria-Igea Marina","ND","46","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.158","12.456"
"CSC201121TCc21","21/11/2020","Caretta caretta","Marche","Pesaro e Urbino","Pesaro","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.887","12.954"
"CSC201121TCc20","21/11/2020","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","65","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.389","12.319"
"CSC201121TCc5","21/11/2020","Caretta caretta","Abruzzo","Teramo","Roseto degli Abruzzi","M","80","","","Morto","Si","Guardia Costiera","Claudia Borgatti","Centro Studi Cetacei","42.65883","14.03423"
"CSC201121TCc4","21/11/2020","Caretta caretta","Abruzzo","Chieti","Francavilla al Mare","ND","43.5","","","Morto","ND","Privato cittadino","Dario D'Onofrio","Centro Studi Cetacei","42.41955","14.29445"
"CSC201121TCc19","21/11/2020","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","65","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.427","12.304"
"CSC201121TCc15","21/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.3","12.35"
"CSC201121TCc13","21/11/2020","Caretta caretta","Marche","Ancona","Senigallia","ND","45","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.71482","13.22731"
"CSC201121TCc12","21/11/2020","Caretta caretta","Marche","Ancona","Senigallia","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.67801","13.2884"
"CSC201121TCc25","21/11/2020","Caretta caretta","Marche","Fermo","Fermo","ND","100","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.22998","13.77982"
"CSC201121TCc18","21/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.19","12.42"
"CSC201121TCc3","21/11/2020","Caretta caretta","Abruzzo","Chieti","Francavilla al Mare","M","74","","","Morto","ND","Privato cittadino","Anna Angrilli","Centro Studi Cetacei","42.44287","14.25639"
"CSC201121TCc2","21/11/2020","Caretta caretta","Abruzzo","Chieti","Francavilla al Mare","F","79","","","Morto","ND","Privato cittadino","Dario D'Onofrio","Centro Studi Cetacei","42.42823","14.28075"
"CSC201121TCc10","21/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","F","81","","","Morto","Si","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.07","12.57"
"CSC201121TCc1","21/11/2020","Caretta caretta","Abruzzo","Pescara","Pescara","ND","45","","","Morto","ND","Guardia Costiera","Daniela Profico","Centro Studi Cetacei","42.49382","14.18626"
"CSC201121TCc17","21/11/2020","Caretta caretta","Emilia Romagna","Ravenna","Cervia","ND","75","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.254","12.365"
"CSC201121TCc16","21/11/2020","Caretta caretta","Marche","Pesaro e Urbino","Pesaro","F","68","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.904","12.932"
"CSC201120TCc3","20/11/2020","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","64","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.442","12.298"
"CSC201120TCc2","20/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","F","65","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro Studi Cetacei","44.08541","12.54479"
"CSC201120TCc1","20/11/2020","Caretta caretta","Marche","Ancona","Senigallia","ND","70","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.73025","13.20309"
"CSC201119TCc1","19/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","46","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.51666","12.58555"
"CSC201119TCc2","19/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","60","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.6437","13.37018"
"CSC201118TCc1","18/11/2020","Caretta caretta","Abruzzo","Pescara","Montesilvano","ND","65","","","Morto","ND","Guardia Costiera","Dario D'Onofrio","Centro Studi Cetacei","42.49553","14.1841"
"CSC201118TCc2","18/11/2020","Caretta caretta","Marche","Pesaro e Urbino","Pesaro","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.90213","12.93518"
"CSC201118TCc3","18/11/2020","Caretta caretta","Emilia Romagna","Rimini","Cattolica","ND","55","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.96847","12.74251"
"CSC201118TCc4","18/11/2020","Caretta caretta","Marche","Ancona","Senigallia","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.73061","13.20245"
"CSC201117TCc5","17/11/2020","Caretta caretta","Marche","Ancona","Senigallia","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.65558","13.3379"
"CSC201117TCc1","17/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","50","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.62418","13.41268"
"CSC201117TCc4","17/11/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","50","","","Morto","ND","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.62419","13.41273"
"CSC201117TCc3","17/11/2020","Caretta caretta","Marche","Macerata","Porto Recanati","ND","70","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.43","13.688"
"CSC201117TCc6","17/11/2020","Caretta caretta","Emilia Romagna","Ferrara","Comacchio","ND","65","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.648","12.255"
"CSC201117TCc2","17/11/2020","Caretta caretta","Marche","Ancona","Senigallia","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.726","13.209"
"CSC201116TCc1","16/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","F","80","","","Vivo","Si","Motopeschereccio","Fondazione cetacea","Centro di Recupero","44.20869","12.40304"
"CSC201115TCc3","15/11/2020","Caretta caretta","Marche","Pesaro e Urbino","Pesaro","ND","45","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.923","12.892"
"CSC201115TCc2","15/11/2020","Caretta caretta","Emilia Romagna","Rimini","Cattolica","ND","50","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.96898","12.73546"
"CSC201115TCc1","15/11/2020","Caretta caretta","Abruzzo","Pescara","Pescara","F","73","","","Morto","Si","Guardia Costiera","Chiara Profico","Centro Studi Cetacei","42.49221","14.1885"
"CSC201114TCc2","14/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","70","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.024","12.631"
"CSC201114TCc1","14/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","60","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.048","12.605"
"CSC201113TCc2","13/11/2020","Caretta caretta","Emilia Romagna","Ferrara","Comacchio","ND","75","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.707","12.241"
"CSC201113TCc1","13/11/2020","Caretta caretta","Molise","Campobasso","Termoli","ND","55.5","","","Morto","ND","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","42.01946","14.90864"
"CSC201112TCc2","12/11/2020","Caretta caretta","Marche","Ancona","Ancona","ND","70","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.564","13.591"
"CSC201112TCc1","12/11/2020","Caretta caretta","Marche","Ancona","Ancona","ND","70","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.564","13.591"
"CSC201105TCc1","05/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","ND","36","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.047","12.607"
"CSC201105TCc2","05/11/2020","Caretta caretta","Emilia Romagna","Rimini","Rimini","F","90","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.041","12.614"
"CSC201103TCc1","03/11/2020","Caretta caretta","Emilia Romagna","Ravenna","Cervia","ND","30","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.266","12.36"
"CSC201103TCc2","03/11/2020","Caretta caretta","Marche","Pesaro e Urbino","Fano","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","43.856","13.003"
"CSC201103TCc3","03/11/2020","Caretta caretta","Emilia Romagna","Forli'-Cesena","Cesenatico","ND","40","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.20473","12.40607"
"CSC201102TCc1","02/11/2020","Caretta caretta","Abruzzo","Teramo","Giulianova","ND","57.6","","CSCIT200","Vivo","Si","Motopeschereccio","Chiara Profico","Centro Studi Cetacei","42.77268","14.04722"
"CSC201029TCc1","29/10/2020","Caretta caretta","Emilia Romagna","Ferrara","Comacchio","ND","68","","","Morto","No","Guardia Costiera","Fondazione cetacea","Centro di Recupero","44.654","12.253"
"CSC201028TCc1","28/10/2020","Caretta caretta","Abruzzo","Teramo","Silvi","ND","39","","","Morto","ND","Guardia Costiera","Anna Angrilli","Centro Studi Cetacei","42.53172","14.14411"
"CSC201028TCc2","28/10/2020","Caretta caretta","Abruzzo","Pescara","Pescara","ND","67","","","Morto","ND","Guardia Costiera","Anna Angrilli","Centro Studi Cetacei","42.48938","14.19153"
"CSC201027TCc1","27/10/2020","Caretta caretta","Abruzzo","Teramo","Silvi","ND","68.1","","","Morto","ND","Guardia Costiera","Anna Angrilli","Centro Studi Cetacei","42.55963","14.11234"
"CSC201027TCc2","27/10/2020","Caretta caretta","Puglia","Foggia","Vieste","F","76","","","Morto","No","Guardia Costiera","Abbenante Alberto","Guardia Costiera","41.53","16.1"
"CSC201026TCc1","26/10/2020","Caretta caretta","Abruzzo","Chieti","Vasto","M","70","","","Morto","ND","Guardia Costiera","Fabrizio Di Fonzo","ASL","42.09087","14.73506"
"CSC201024TCc1","24/10/2020","Caretta caretta","Abruzzo","Chieti","Vasto","ND","58","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.09083","14.73436"
"CSC201021TCc1","21/10/2020","Caretta caretta","Sicilia","Messina","Lipari","ND","60","","","Vivo","Si","Guardia Costiera","Non disponibile","Guardia Costiera","38.627","15.052"
"CSC201019TCc1","19/10/2020","Caretta caretta","Abruzzo","Chieti","Vasto","ND","64","","","Morto","ND","Privato cittadino","Pietro Di Taranto","CSC/ASL","42.13882","14.71892"
"CSC201008TCc2","08/10/2020","Caretta caretta","Marche","Ancona","Ancona","ND","62","FC853","","Vivo","Si","Guardia Costiera","Non disponibile","Guardia Costiera","43.767","13.48527"
"CSC201008TCc1","08/10/2020","Caretta caretta","Abruzzo","Teramo","Martinsicuro","F","64","","","Morto","ND","Guardia Costiera","Claudia Borgatti","Centro Studi Cetacei","42.84074","13.93138"
"CSC201006TCc1","06/10/2020","Caretta caretta","Abruzzo","Teramo","Martinsicuro","ND","56.5","","","Morto","ND","Guardia Costiera","Chiara Profico","Centro Studi Cetacei","42.85424","13.92835"
"CSC200930TCc1","30/09/2020","Caretta caretta","Abruzzo","Teramo","Roseto degli Abruzzi","ND","58","","","Morto","ND","Guardia Costiera","Chiara Profico","Centro Studi Cetacei","42.69746","14.0027"
"CSC200929TCc1","29/09/2020","Caretta caretta","Lazio","Roma","Santa Marinella","ND","70","","","Vivo","Si","Privato cittadino","Personale","Ambito Rete Tarta Lazio","42.02781","11.87686"
"CSC200923TCc1","23/09/2020","Caretta caretta","Abruzzo","Pescara","Pescara","ND","37","","CSCIT199","Vivo","Si","Motopeschereccio","Anna Angrilli","Centro Studi Cetacei","42.61712","14.45501"
"CSC200921TCc1","21/09/2020","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","75","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.55697","12.28385"
"CSC200921TCc2","21/09/2020","Caretta caretta","Marche","Fermo","Porto Sant'Elpidio","M","70","","","Morto","Si","Guardia Costiera","Non disponibile","Guardia Costiera","43.281","13.749"
"CSC200920TCc1","20/09/2020","Caretta caretta","Calabria","Reggio di Calabria","Palmi","ND","64","","","Vivo","ND","Guardia Costiera","Non disponibile","Guardia Costiera","38.371","15.801"
"CSC200910TCc1","10/09/2020","Caretta caretta","Abruzzo","Pescara","Montesilvano","ND","45.3","","","Morto","ND","Guardia Costiera","Anna Angrilli","Centro Studi Cetacei","42.5257","14.15379"
"CSC200909TCc1","09/09/2020","Caretta caretta","Abruzzo","Chieti","Francavilla al Mare","ND","59","","","Morto","Si","Guardia Costiera","Alessia Ioannoni","ASL","42.4343","14.26966"
"CSC200909TCc2","09/09/2020","Caretta caretta","Molise","Campobasso","Termoli","ND","60","","","Morto","Si","Guardia Costiera","Mauro Blardi","ASREM","41.9979","15.0002"
"CSC200907TCc1","07/09/2020","Caretta caretta","Abruzzo","Teramo","Silvi","ND","37","","","Morto","ND","Guardia Costiera","Claudia Borgatti","Centro Studi Cetacei","42.53326","14.14209"
"CSC200904TCc2","04/09/2020","Caretta caretta","Lazio","Roma","Fiumicino","ND","56","","","Morto","ND","Privato cittadino","Monia Parente","ASL","41.81028","12.21273"
"CSC200904TCc1","04/09/2020","Caretta caretta","Abruzzo","Teramo","Roseto degli Abruzzi","ND","56.8","","","Morto","ND","Guardia Costiera","Anna Angrilli","Centro Studi Cetacei","42.65694","14.03749"
"CSC200902TCc1","02/09/2020","Caretta caretta","Abruzzo","Teramo","Silvi","ND","36.5","","","Morto","ND","Guardia Costiera","Chiara Profico","Centro Studi Cetacei","42.53328","14.14242"
"CSC200827TCc1","27/08/2020","Caretta caretta","Marche","Ancona","Numana","ND","40","CSCIT092","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.494","13.628"
"CSC200826TCc2","26/08/2020","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","103","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.5165","12.28011"
"CSC200826TCc1","26/08/2020","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","66","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.49774","12.28534"
"CSC200823TCc1","23/08/2020","Caretta caretta","Molise","Campobasso","Termoli","ND","48","","","Morto","ND","Guardia Costiera","Gianluca Barbuto","Centro Studi Cetacei","42.00773","14.97375"
"CSC200821TCc2","21/08/2020","Caretta caretta","Marche","Fermo","Campofilone","F","100","","","Morto","No","Guardia Costiera","Non disponibile","Guardia Costiera","43.075","13.84972"
"CSC200821TCc1","21/08/2020","Caretta caretta","Molise","Campobasso","Montenero di Bisaccia","ND","59","","","Morto","ND","Guardia Costiera","Antonio Cancellario","ASREM","42.05917","14.80224"
"CSC200816TCc3","16/08/2020","Caretta caretta","Abruzzo","Chieti","Ortona","ND","74","","","Morto","No","Guardia di Finanza","Alessia Ioannoni","ASL","42.34615","14.44117"
"CSC200816TCm1","16/08/2020","Chelonia mydas","Molise","Campobasso","Termoli","ND","31","","","Morto","ND","Guardia Costiera","Angela D'Ambrosio","Centro Studi Cetacei","42.01086","14.95364"
"CSC200816TCc1","16/08/2020","Caretta caretta","Abruzzo","Chieti","Vasto","ND","60","","","Morto","Si","Guardia Costiera","Fabrizio Di Fonzo","ASL","42.19196","14.64779"
"CSC200816TCc2","16/08/2020","Caretta caretta","Basilicata","Potenza","Maratea","F","80.5","","","Vivo","Si","Guardia Costiera","Non disponibile","Guardia Costiera","39.98722","15.70922"
"CSC200815TCc1","15/08/2020","Caretta caretta","Abruzzo","Teramo","Giulianova","ND","29","","","Morto","ND","Guardia Costiera","Chiara Profico","Centro Studi Cetacei","42.7601","13.96778"
"CSC200815TCc2","15/08/2020","Caretta caretta","Marche","Ascoli Piceno","Cupra Marittima","ND","42","","","Morto","Si","Guardia Costiera","Non disponibile","Guardia Costiera","43.03867","13.85805"
"CSC200812TCc1","12/08/2020","Caretta caretta","Marche","Ancona","Ancona","ND","15","","","Vivo","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.625","13.501"
"CSC200809TCc1","09/08/2020","Caretta caretta","Molise","Campobasso","Campomarino","ND","65","","","Morto","ND","Guardia Costiera","Nicola Ciarallo","ASREM","41.93008","15.12278"
"CSC200808TCc1","08/08/2020","Caretta caretta","Abruzzo","Chieti","Torino di Sangro","ND","65","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.21041","14.5942"
"CSC200806TCc1","06/08/2020","Caretta caretta","Abruzzo","Chieti","Ortona","F","30","","","Morto","No","Guardia Costiera","William Di Nardo","CSC/ASL","42.39136","14.34761"
"CSC200806TCc5","06/08/2020","Caretta caretta","Abruzzo","Chieti","Casalbordino","ND","65","","","Morto","ND","Guardia Costiera","Pietro Di Taranto","CSC/ASL","42.19677","14.62678"
"CSC200806TCc3","06/08/2020","Caretta caretta","Abruzzo","Chieti","Fossacesia","M","86","","","Morto","ND","Guardia Costiera","Carlotta Severi","Centro Studi Cetacei","42.26015","14.50142"
"CSC200806TCc6","06/08/2020","Caretta caretta","Marche","Ancona","Falconara Marittima","ND","60","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","43.6428","13.37272"
"CSC200806TCc2","06/08/2020","Caretta caretta","Molise","Campobasso","Campomarino","ND","33","","","Morto","ND","Guardia Costiera","Gaetano Piermatteo","ASREM","42.03118","14.96996"
"CSC200806TCc4","06/08/2020","Caretta caretta","Abruzzo","Chieti","Vasto","ND","70","","","Morto","ND","Privato cittadino","Carlotta Severi","Centro Studi Cetacei","42.1818","14.67639"
