"codice","data","specie","regione","provincia","comune","sesso","lunghezza (cm)","tag_rilievo","tag_rilascio","condizioni","interazione","segnalatore","rilevatore","struttura","latitudine","longitudine"
"CSC070703TCc1","03/07/2007","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","43","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.4937","12.28411"
"CSC070702TCc1","02/07/2007","Caretta caretta","Puglia","Taranto","Pulsano","ND","42","","","Morto","ND","Guardia Costiera","Non disponibile","ASL","40.34766","17.37584"
"CSC070701TCc1","01/07/2007","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","130","","","Morto","ND","Servizio di Salvataggio","Non disponibile","Guardia Costiera","44.55888","12.28295"
"CSC070630TCc2","30/06/2007","Caretta caretta","Puglia","Taranto","Ginosa","M","90","","","Morto","ND","Guardia Costiera","Luigi Laera","ASL","40.40161","16.86962"
"CSC070630TCc1","30/06/2007","Caretta caretta","Emilia Romagna","Ravenna","Ravenna","ND","40","","","Morto","ND","Privato cittadino","Non disponibile","Guardia Costiera","44.39846","12.31734"
"CSC070628TCc3","28/06/2007","Caretta caretta","Friuli","Gorizia","Staranzano","ND","60","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","45.76748","13.52418"
"CSC070628TCc2","28/06/2007","Caretta caretta","Friuli","Gorizia","Monfalcone","ND","70","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","45.78293","13.56024"
"CSC070628TCc1","28/06/2007","Caretta caretta","Emilia Romagna","Ferrara","Comacchio","ND","65","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.65963","12.25175"
"CSC070626TCc1","26/06/2007","Caretta caretta","Emilia Romagna","Ferrara","Comacchio","ND","115","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.67975","12.24248"
"CSC070624TCc1","24/06/2007","Caretta caretta","Friuli","Gorizia","Gorizia","ND","60","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","45.78301","13.5431"
"CSC070620TND1","20/06/2007","Indeterminato","Campania","Salerno","","ND","80","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.63583","14.76277"
"CSC070620TCc1","20/06/2007","Caretta caretta","Molise","Campobasso","","ND","","","","Morto","ND","Guardia Costiera","Dr.Guglielmi","Centro Studi Cetacei","42.005","14.99277"
"CSC070619TCc1","19/06/2007","Caretta caretta","Emilia Romagna","Ferrara","","ND","35","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.64602","12.2558"
"CSC070617TCc1","17/06/2007","Caretta caretta","Puglia","Taranto","","F","","","","Morto","ND","ASL","Non disponibile","ASL","40.40971","16.87664"
"CSC070616TCc1","16/06/2007","Caretta caretta","Friuli","Gorizia","","ND","70","","","Morto","ND","Guardia Costiera","Non disponibile","Centro Studi Cetacei","45.68327","13.36639"
"CSC070615TCc1","15/06/2007","Caretta caretta","Emilia Romagna","Ferrara","","ND","65","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.73909","12.24366"
"CSC070610TCc1","10/06/2007","Caretta caretta","Emilia Romagna","Ravenna","","ND","80","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.51845","12.27958"
"CSC070606TND1","06/06/2007","Indeterminato","Molise","Campobasso","","ND","","","","Vivo","ND","Guardia Costiera","Non disponibile","Guardia Costiera","42.00333","15.00138"
"CSC070605TCc1","05/06/2007","Caretta caretta","Emilia Romagna","Ravenna","","ND","110","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.49466","12.302"
"CSC070603TCc2","03/06/2007","Caretta caretta","Puglia","Taranto","","F","","","","Morto","ND","ASL","Dr. Carone","ASL","40.30236","17.63085"
"CSC070603TCc1","03/06/2007","Caretta caretta","Emilia Romagna","Ravenna","","ND","","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","44.40206","12.31593"
"CSC070602TCc1","02/06/2007","Caretta caretta","Puglia","Taranto","","F","","","","Morto","ND","ASL","Dr.Perniola","ASL","40.50535","17.02118"
"CSC070531TCc1","31/05/2007","Caretta caretta","Puglia","Taranto","","ND","","","","Morto","ND","ASL","Dr. Linoli","ASL","40.35631","17.35514"
"CSC070530TCc1","30/05/2007","Caretta caretta","Campania","Salerno","","ND","80","","","Morto","ND","Guardia Costiera","Non disponibile","Guardia Costiera","40.66952","14.78067"
