codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC060607TCc1,2006-06-07,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Giuseppe Maraglino,ASL,17.20734,40.47723
CSC060607TCc2,2006-06-07,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Giuseppe Maraglino,ASL,17.18822,40.47753
CSC060606TCc1,2006-06-06,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Giuseppe Maraglino,ASL,17.23794,40.46969
CSC060604TCc1,2006-06-04,Emilia Romagna,Ferrara,,Caretta caretta,1,ND,125.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,12.2566,44.64764
CSC060602TCc1,2006-06-02,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,70.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,12.28367,44.55194
CSC060526TCc1,2006-05-26,Emilia Romagna,Ferrara,,Caretta caretta,1,ND,50.0,TOT,Morto,,,ND,Guardia Costiera,Raffaello Bruno,Guardia Costiera,12.25121,44.67058
CSC060525TCc1,2006-05-25,Emilia Romagna,Ravenna,,Caretta caretta,1,ND,80.0,TOT,Morto,,,ND,Guardia Costiera,Domenico Mastrilli,Guardia Costiera,12.28367,44.55502
CSC060522TCc1,2006-05-22,Campania,Salerno,,Caretta caretta,1,ND,55.0,TOT,Morto,,,ND,Guardia Costiera,Gianluca Treglia,Guardia Costiera,14.8499,40.61646
CSC060518TCc1,2006-05-18,Puglia,Taranto,,Caretta caretta,1,ND,95.0,TOT,Morto,,,ND,Guardia Costiera,Giovanni Sasso,ASL,17.11353,40.51977
CSC060513TCc1,2006-05-13,Abruzzo,Teramo,,Caretta caretta,1,ND,54.0,TOT,Vivo,,,ND,Guardia Costiera,Rocco Colamonaco,Guardia Costiera,14.00797,42.69054
CSC060510TCc1,2006-05-10,Puglia,Taranto,,Caretta caretta,1,F,,,Morto,,,ND,Guardia Costiera,Giuseppe Maraglino,ASL,17.28523,40.48279
CSC060509TCc1,2006-05-09,Campania,Salerno,,Caretta caretta,1,ND,75.0,TOT,Morto,,,ND,Guardia Costiera,Ernesto Maffia,Guardia Costiera,14.78002,40.66983
CSC060507TCc1,2006-05-07,Puglia,Taranto,,Caretta caretta,1,ND,,,Morto,,,ND,Guardia Costiera,Tarquinio,ASL,16.91125,40.44289
CSC060501TCc1,2006-05-01,Abruzzo,Chieti,,Caretta caretta,1,ND,,,Morto,,,ND,Vigili del fuoco,Roberto Valente,ASL,14.71949,42.10321
CSC060402TCc1,2006-04-02,Puglia,Taranto,,Caretta caretta,1,ND,,,Vivo,,,ND,Guardia Costiera,Giuseppe Maraglino,ASL,17.21685,40.45286
CSC060317TCc1,2006-03-17,Campania,Salerno,,Caretta caretta,1,ND,64.0,TOT,Vivo,,,ND,Guardia Costiera,Francesco Pollaro,Centro di recupero,14.77392,40.67225
CSC060317TCc2,2006-03-17,Campania,Caserta,,Caretta caretta,1,ND,55.0,TOT,Morto,,,ND,Guardia Costiera,Non disponibile,Guardia Costiera,13.94038,41.01002
CSC060313TCc1,2006-03-13,Puglia,Taranto,,Caretta caretta,1,ND,110.0,TOT,Morto,,,ND,Guardia Costiera,Nunzio Giannico,ASL,17.46527,40.31586
CSC060212TCc1,2006-02-12,Abruzzo,Pescara,,Caretta caretta,1,ND,51.0,TOT,Vivo,,CSC1114,ND,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.36313,42.57516
CSC060205TCc1,2006-02-05,Abruzzo,Pescara,,Caretta caretta,1,ND,63.0,TOT,Vivo,,CSC1113,ND,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.395,42.59838
CSC060131TCc1,2006-01-31,Marche,Ascoli Piceno,,Caretta caretta,1,ND,30.0,TOT,Vivo,,,ND,Guardia Costiera,Amedeo Alfano,Guardia Costiera,13.87848,42.97173
CSC060110TCc1,2006-01-10,Puglia,Taranto,,Caretta caretta,1,F,,,Morto,,,ND,Guardia Costiera,Giuseppe Maraglino,ASL,17.21647,40.423
CSC051214TCc1,2005-12-14,Campania,Salerno,,Caretta caretta,1,ND,70.0,TOT,Morto,,,ND,Guardia Costiera,Ernesto Maffia,Guardia Costiera,14.88223,40.58104
