codice,data_rilievo,regione,provincia,comune,specie,cod_specie,sesso,lunghezza_cm,tipo_lunghezza,condizioni,tag,tag_rilascio,interazione,segnalato_da,rilevatore,struttura_rilevatore,lng,lat
CSC140713CTt1,2014-07-13,Abruzzo,Teramo,,Tursiops truncatus,9,M,294.0,TOT,Morto,,,No,Vigili urbani,Massimiliano Pennelli,Centro Studi Cetacei,14.06327,42.61645
CSC140707CSc1,2014-07-07,Calabria,Crotone,,Stenella coeruleoalba,8,M,163.0,TOT,Morto,,,ND,Guardia Costiera,Stefania Giglio,Centro Studi Cetacei,17.01961,38.91018
CSC140707CTt1,2014-07-07,Abruzzo,Chieti,,Tursiops truncatus,9,M,125.0,TOT,Morto,,,No,Guardia Costiera,Giuseppe Torzi,ASL,14.77861,42.07056
CSC140706CND1,2014-07-06,Emilia Romagna,Ravenna,,Indeterminato,5,ND,250.0,TOT,Morto,,,ND,Privato cittadino,anonimo,Guardia Costiera,12.28613,44.48534
CSC140706CSc1,2014-07-06,Calabria,Crotone,,Stenella coeruleoalba,8,F,195.0,TOT,Morto,,,ND,ASP,Elena Madeo,Centro Studi Cetacei,17.13853,39.18455
CSC140705CND1,2014-07-05,Emilia Romagna,Ravenna,,Indeterminato,5,ND,120.0,TOT,Morto,,,ND,Privato cittadino,anonimo,Guardia Costiera,12.28155,44.5075
CSC140705CND2,2014-07-05,Emilia Romagna,Ravenna,,Indeterminato,5,ND,50.0,TOT,Morto,,,ND,Privato cittadino,anonimo,Guardia Costiera,12.27035,44.49189
CSC140623CSc1,2014-06-23,Lazio,Latina,,Stenella coeruleoalba,8,ND,110.0,TOT,Morto,,,ND,Privato cittadino,De Gregorio,ASL,12.93858,41.36986
CSC140620CTt1,2014-06-20,Molise,Campobasso,,Tursiops truncatus,9,M,283.0,TOT,Morto,,,Si,Guardia Costiera,Vincenzo Olivieri,Centro Studi Cetacei,14.93082,42.01503
CSC140617CTt1,2014-06-17,Emilia Romagna,Ferrara,,Tursiops truncatus,9,ND,280.0,TOT,Morto,,,ND,Privato cittadino,anonimo,Guardia Costiera,12.25108,44.66443
CSC140616CND1,2014-06-16,Emilia Romagna,Ravenna,,Indeterminato,5,ND,125.0,TOT,Morto,,,ND,Privato cittadino,anonimo,Centro di Recupero,12.29486,44.44827
CSC140615CND1,2014-06-15,Emilia Romagna,Ravenna,,Indeterminato,5,ND,130.0,TOT,Morto,,,ND,Privato cittadino,Fantanini,Centro di Recupero,12.33578,44.33275
